"lat","long","FIPS_block","FIPS_county","FIPS_state","STname","API_status"
47.710575,-117.4414658,"530630007001015","53063","53","WA","OK"
43.3928681,-70.5656644,"230310280025003","23031","23","ME","OK"
45.2223748,-93.0290805,"270030502103068","27003","27","MN","OK"
37.2044387,-108.7295415,"080839411002038","08083","08","CO","OK"
35.456272,-97.4591745,"401091078051008","40109","40","OK","OK"
44.0966196,-103.2066695,"461030104002001","46103","46","SD","OK"
40.568564,-122.387559,"060890104002021","06089","06","CA","OK"
33.7334447,-117.8154728,"060590755131001","06059","06","CA","OK"
46.240804,-116.581809,"160619400023175","16061","16","ID","OK"
30.6103169,-95.4838112,"484717902003030","48471","48","TX","OK"
41.429786,-96.492678,"310539642003049","31053","31","NE","OK"
43.0384937,-83.732244,"260490012002000","26049","26","MI","OK"
33.5506227,-101.8553729,"483030024005021","48303","48","TX","OK"
35.5157972,-98.9648757,"400399508001087","40039","40","OK","OK"
47.2421508,-122.3526763,"530539400021044","53053","53","WA","OK"
37.6970145,-97.3090521,"201730018001009","20173","20","KS","OK"
33.8326782,-98.2613915,"480770303023058","48077","48","TX","OK"
35.552624,-95.883577,"401110005001165","40111","40","OK","OK"
33.8369944,-109.9642664,"040179403021040","04017","04","AZ","OK"
38.8013558,-112.4374387,"490279743002654","49027","49","UT","OK"
33.0026243,-96.9718355,"481210217382017","48121","48","TX","OK"
36.1817489,-119.0011623,"061070027002076","06107","06","CA","OK"
36.499795,-114.759547,"320030059022041","32003","32","NV","OK"
39.0586758,-95.6826466,"201770006001029","20177","20","KS","OK"
34.139413,-114.288593,"040129402001190","04012","04","AZ","OK"
47.7026769,-122.3616854,"530330014003010","53033","53","WA","OK"
36.7378451,-108.2523394,"350450005032049","35045","35","NM","OK"
35.3814189,-118.9694602,"060290012021001","06029","06","CA","OK"
45.0081234,-101.2225558,"460419415002007","46041","46","SD","OK"
45.0081234,-101.2225558,"460419415002007","46041","46","SD","OK"
43.0997041,-75.2585259,"360650265001004","36065","36","NY","OK"
36.5930593,-108.8838349,"350459429001209","35045","35","NM","OK"
35.662064,-109.0646763,"040019450012159","04001","04","AZ","OK"
44.0772663,-99.4379559,"460179402001015","46017","46","SD","OK"
47.3540342,-96.5587955,"271079602001286","27107","27","MN","OK"
35.4949191,-98.9932331,"400399604004064","40039","40","OK","OK"
33.7327545,-117.8161788,"060590755131003","06059","06","CA","OK"
48.5569174,-113.0134175,"300359402003020","30035","30","MT","OK"
35.627206,-95.9521597,"401110001001027","40111","40","OK","OK"
35.083881,-106.7048159,"350010024023006","35001","35","NM","OK"
40.7627304,-111.8944162,"490351025001038","49035","49","UT","OK"
42.520925,-93.266909,"190834802001020","19083","19","IA","OK"
40.580969,-122.39925,"060890105001029","06089","06","CA","OK"
47.2406485,-122.3808634,"530539400022053","53053","53","WA","OK"
48.277802,-116.5502993,"160179503002001","16017","16","ID","OK"
46.4043772,-120.4173669,"530779400015035","53077","53","WA","OK"
32.7757706,-89.2702388,"280999401001073","28099","28","MS","OK"
36.7139989,-107.9967202,"350450007073008","35045","35","NM","OK"
37.925258,-122.3381754,"060133810003014","06013","06","CA","OK"
42.4990736,-96.4271675,"191930014002008","19193","19","IA","OK"
43.6984343,-98.0189683,"460359629005038","46035","46","SD","OK"
36.8266967,-108.0611121,"350450006132057","35045","35","NM","OK"
35.9298142,-95.0006345,"400219779004007","40021","40","OK","OK"
40.9089201,-123.6596995,"060230101021286","06023","06","CA","OK"
44.1090845,-103.2237212,"461030114003108","46103","46","SD","OK"
33.3279337,-111.8329285,"040135229011003","04013","04","AZ","OK"
40.810027,-91.118587,"190570004001004","19057","19","IA","OK"
33.4963923,-112.1142435,"040131090012003","04013","04","AZ","OK"
61.2184085,-149.858016,"020200009011015","02020","02","AK","OK"
36.413976,-109.213988,"040019441001146","04001","04","AZ","OK"
34.4692959,-96.3725521,"400293882002100","40029","40","OK","OK"
48.4618195,-119.0012171,"530479401002003","53047","53","WA","OK"
44.0676855,-103.1667596,"461030109071020","46103","46","SD","OK"
47.1598385,-122.4851185,"530530718072018","53053","53","WA","OK"
33.3895695,-111.8007656,"040134223021009","04013","04","AZ","OK"
36.1605484,-95.9021444,"401430072001005","40143","40","OK","OK"
47.9799986,-98.9929005,"380059401002007","38005","38","ND","OK"
35.9096762,-94.9788952,"400219780002053","40021","40","OK","OK"
39.700756,-105.045326,"080310045033009","08031","08","CO","OK"
36.7887459,-119.7005613,"060190031043021","06019","06","CA","OK"
64.8274247,-147.7619201,"020900002002035","02090","02","AK","OK"
64.8057001,-147.5434489,"020900014004016","02090","02","AK","OK"
45.0045195,-101.2389372,"460419415001019","46041","46","SD","OK"
48.05795,-122.2668275,"530619400011030","53061","53","WA","OK"
37.8855836,-121.2730531,"060770038031036","06077","06","CA","OK"
44.922578,-93.1343073,"271230368002009","27123","27","MN","OK"
44.07255,-103.2186238,"461030107001003","46103","46","SD","OK"
34.0105981,-95.5040573,"400239671001103","40023","40","OK","OK"
67,-160,"021880001002052","02188","02","AK","OK"
61.1916044,-149.8941998,"020200019002002","02020","02","AK","OK"
47.229934,-122.4540635,"530530618002000","53053","53","WA","OK"
43.242143,-100.842814,"461219401002060","46121","46","SD","OK"
