GISJOIN,YEAR,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHH,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,NAME_E,ABK3E001,ABK3E002,ABK3E003,ABK3E004,ABK3E005,ABK3E006,ABK3E007,ABK3E008,ABK3E009,ABK3E010,ABK3E011,ABK3E012,ABK3E013,ABK3E014,ABK3E015,ABK3E016,ABK3E017,ABK3E018,ABK3E019,ABK3E020,ABK3E021,ABK3E022,ABK3E023,ABK3E024,ABK3E025,ABK3E026,ABK3E027,ABK3E028,ABK3E029,ABK3E030,ABK3E031,NAME_M,ABK3M001,ABK3M002,ABK3M003,ABK3M004,ABK3M005,ABK3M006,ABK3M007,ABK3M008,ABK3M009,ABK3M010,ABK3M011,ABK3M012,ABK3M013,ABK3M014,ABK3M015,ABK3M016,ABK3M017,ABK3M018,ABK3M019,ABK3M020,ABK3M021,ABK3M022,ABK3M023,ABK3M024,ABK3M025,ABK3M026,ABK3M027,ABK3M028,ABK3M029,ABK3M030,ABK3M031
"G0010","2010-2014",,,,,,,,,"Acoma Pueblo and Off-Reservation Trust Land, NM","0010",,,,,,,,,,,,,,,,,,,,,,"Acoma Pueblo and Off-Reservation Trust Land, NM",3101,1366,119,106,106,42,32,100,115,101,163,182,199,30,71,0,1735,110,128,121,59,61,125,178,101,192,293,189,76,77,25,"Acoma Pueblo and Off-Reservation Trust Land, NM",326,170,44,39,38,25,23,43,38,39,57,49,50,19,37,12,207,34,41,39,27,26,52,53,32,65,69,48,39,32,27
"G0020","2010-2014",,,,,,,,,"Agua Caliente Indian Reservation and Off-Reservation Trust Land, CA","0020",,,,,,,,,,,,,,,,,,,,,,"Agua Caliente Indian Reservation and Off-Reservation Trust Land, CA",262,133,13,3,3,0,0,15,31,1,11,21,24,8,3,0,129,1,23,5,4,5,10,16,4,14,15,8,21,3,0,"Agua Caliente Indian Reservation and Off-Reservation Trust Land, CA",92,48,12,3,3,23,23,14,34,2,11,15,18,6,4,23,55,2,29,5,6,8,15,15,5,12,11,7,12,4,23
"G0050","2010-2014",,,,,,,,,"Alabama-Coushatta Reservation and Off-Reservation Trust Land, TX","0050",,,,,,,,,,,,,,,,,,,,,,"Alabama-Coushatta Reservation and Off-Reservation Trust Land, TX",416,213,1,16,21,24,4,15,14,12,27,24,20,21,10,4,203,18,11,18,16,3,13,7,19,24,14,16,33,4,7,"Alabama-Coushatta Reservation and Off-Reservation Trust Land, TX",119,64,5,16,23,16,4,12,13,13,20,16,13,13,12,6,73,16,12,18,12,5,12,7,16,16,10,12,19,6,7
"G0080","2010-2014",,,,,,,,,"Allegany Reservation, NY","0080",,,,,,,,,,,,,,,,,,,,,,"Allegany Reservation, NY",1547,774,84,60,67,36,14,81,45,44,103,102,72,48,18,0,773,84,85,55,42,31,53,53,25,107,115,46,49,23,5,"Allegany Reservation, NY",175,97,24,29,36,19,13,24,22,17,27,20,22,16,10,16,105,27,32,26,13,20,24,19,14,33,27,23,16,10,5
"G0095","2010-2014",,,,,,,,,"Alturas Indian Rancheria, CA","0095",,,,,,,,,,,,,,,,,,,,,,"Alturas Indian Rancheria, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alturas Indian Rancheria, CA",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"G0110","2010-2014",,,,,,,,,"Annette Island Reserve, AK","0110",,,,,,,,,,,,,,,,,,,,,,"Annette Island Reserve, AK",1315,688,76,65,27,22,24,44,39,42,75,109,84,68,9,4,627,65,38,62,33,14,41,50,41,47,79,91,42,24,0,"Annette Island Reserve, AK",118,71,20,26,13,10,12,24,18,15,24,21,22,11,9,5,67,24,16,18,12,11,12,18,15,16,20,21,18,10,9
"G0115","2010-2014",,,,,,,,,"Aroostook Band of Micmac Trust Land, ME","0115",,,,,,,,,,,,,,,,,,,,,,"Aroostook Band of Micmac Trust Land, ME",166,67,13,10,0,4,0,5,4,7,14,9,0,1,0,0,99,13,4,4,0,1,50,10,2,4,3,6,0,2,0,"Aroostook Band of Micmac Trust Land, ME",71,32,11,10,10,4,10,7,5,8,13,8,10,2,10,10,58,15,6,5,10,2,41,18,5,5,4,10,10,5,10
"G0120","2010-2014",,,,,,,,,"Auburn Rancheria and Off-Reservation Trust Land, CA","0120",,,,,,,,,,,,,,,,,,,,,,"Auburn Rancheria and Off-Reservation Trust Land, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Auburn Rancheria and Off-Reservation Trust Land, CA",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"G0125","2010-2014",,,,,,,,,"Augustine Reservation, CA","0125",,,,,,,,,,,,,,,,,,,,,,"Augustine Reservation, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Augustine Reservation, CA",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"G0140","2010-2014",,,,,,,,,"Bad River Reservation, WI","0140",,,,,,,,,,,,,,,,,,,,,,"Bad River Reservation, WI",969,468,29,50,48,25,22,23,25,22,42,89,52,32,8,1,501,33,57,33,34,17,32,26,41,53,88,31,44,10,2,"Bad River Reservation, WI",138,86,18,22,24,12,11,21,20,17,22,27,20,15,7,2,82,19,27,16,14,15,14,15,18,20,29,16,18,9,3
"G0155","2010-2014",,,,,,,,,"Barona Reservation, CA","0155",,,,,,,,,,,,,,,,,,,,,,"Barona Reservation, CA",437,253,42,26,37,18,2,21,5,12,50,18,15,2,5,0,184,17,10,24,23,2,17,9,14,21,18,13,11,5,0,"Barona Reservation, CA",92,72,25,18,18,16,3,15,7,10,29,11,8,3,6,12,45,9,15,14,15,3,11,9,10,18,10,12,8,5,12
"G0165","2010-2014",,,,,,,,,"Battle Mountain Reservation, NV","0165",,,,,,,,,,,,,,,,,,,,,,"Battle Mountain Reservation, NV",151,78,9,11,7,6,0,6,2,4,3,15,11,4,0,0,73,3,3,8,5,0,0,2,11,5,17,1,14,4,0,"Battle Mountain Reservation, NV",67,32,8,9,10,8,13,7,3,9,5,15,13,5,13,13,41,4,6,9,11,13,13,4,9,7,19,2,11,6,13
"G0170","2010-2014",,,,,,,,,"Bay Mills Reservation and Off-Reservation Trust Land, MI","0170",,,,,,,,,,,,,,,,,,,,,,"Bay Mills Reservation and Off-Reservation Trust Land, MI",756,345,24,51,20,12,22,30,36,22,37,30,21,20,17,3,411,52,38,34,26,3,44,21,18,67,65,21,14,8,0,"Bay Mills Reservation and Off-Reservation Trust Land, MI",143,87,15,31,12,10,21,19,22,13,14,17,14,12,13,5,81,29,18,22,18,5,29,18,13,28,30,12,8,8,10
"G0185","2010-2014",,,,,,,,,"Benton Paiute Reservation and Off-Reservation Trust Land, CA","0185",,,,,,,,,,,,,,,,,,,,,,"Benton Paiute Reservation and Off-Reservation Trust Land, CA",34,12,2,1,1,0,0,0,0,0,2,3,1,1,1,0,22,0,2,3,0,0,0,0,4,2,3,7,1,0,0,"Benton Paiute Reservation and Off-Reservation Trust Land, CA",34,15,7,5,3,12,12,12,12,12,3,6,2,2,2,12,24,12,7,7,12,12,12,12,8,6,5,13,2,12,12
"G0200","2010-2014",,,,,,,,,"Berry Creek Rancheria and Off-Reservation Trust Land, CA","0200",,,,,,,,,,,,,,,,,,,,,,"Berry Creek Rancheria and Off-Reservation Trust Land, CA",46,17,2,1,2,1,2,0,0,0,3,2,2,1,1,0,29,1,2,5,1,1,2,2,2,4,4,2,2,1,0,"Berry Creek Rancheria and Off-Reservation Trust Land, CA",29,10,4,2,3,2,4,12,12,12,5,4,3,2,4,12,24,2,3,7,2,2,3,3,3,4,5,3,3,2,12
"G0215","2010-2014",,,,,,,,,"Big Bend Rancheria, CA","0215",,,,,,,,,,,,,,,,,,,,,,"Big Bend Rancheria, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Big Bend Rancheria, CA",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"G0225","2010-2014",,,,,,,,,"Big Cypress Reservation, FL","0225",,,,,,,,,,,,,,,,,,,,,,"Big Cypress Reservation, FL",500,272,27,21,50,30,18,15,10,22,11,47,13,4,0,4,228,26,31,33,9,5,3,9,10,27,48,16,4,7,0,"Big Cypress Reservation, FL",48,25,9,12,12,10,15,15,11,17,10,19,12,6,13,7,43,8,12,12,8,9,6,10,11,17,21,18,7,11,13
"G0240","2010-2014",,,,,,,,,"Big Lagoon Rancheria, CA","0240",,,,,,,,,,,,,,,,,,,,,,"Big Lagoon Rancheria, CA",6,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,"Big Lagoon Rancheria, CA",9,5,2,12,3,12,12,12,12,12,12,12,12,12,12,12,4,12,2,12,12,12,12,12,12,3,12,12,12,12,12
"G0250","2010-2014",,,,,,,,,"Big Pine Reservation, CA","0250",,,,,,,,,,,,,,,,,,,,,,"Big Pine Reservation, CA",330,150,17,20,9,11,2,7,9,10,23,20,20,1,1,0,180,14,8,9,4,4,4,11,34,15,32,14,21,10,0,"Big Pine Reservation, CA",77,41,11,11,6,10,4,8,8,12,12,10,11,2,2,12,49,12,7,6,4,4,7,10,16,13,18,10,14,8,12
"G0265","2010-2014",,,,,,,,,"Big Sandy Rancheria, CA","0265",,,,,,,,,,,,,,,,,,,,,,"Big Sandy Rancheria, CA",182,111,10,5,25,45,0,6,1,0,10,4,2,3,0,0,71,4,11,12,1,10,2,2,4,14,4,4,2,0,1,"Big Sandy Rancheria, CA",121,83,9,7,25,53,12,5,2,12,14,6,3,4,12,12,43,6,10,13,2,13,4,4,6,17,5,5,3,12,2
"G0275","2010-2014",,,,,,,,,"Big Valley Rancheria, CA","0275",,,,,,,,,,,,,,,,,,,,,,"Big Valley Rancheria, CA",173,107,6,16,18,3,0,7,0,12,8,3,5,16,2,11,66,2,10,5,0,4,8,6,5,7,5,0,12,2,0,"Big Valley Rancheria, CA",96,59,11,16,23,5,12,12,12,14,15,4,6,17,6,20,48,5,19,9,12,7,7,8,6,10,6,12,15,5,12
"G0290","2010-2014",,,,,,,,,"Bishop Reservation, CA","0290",,,,,,,,,,,,,,,,,,,,,,"Bishop Reservation, CA",1109,520,44,63,34,37,28,24,56,23,56,62,67,13,8,5,589,39,42,57,37,20,44,33,40,95,53,47,53,23,6,"Bishop Reservation, CA",122,78,22,21,14,14,22,23,9,19,17,19,14,11,8,8,80,15,21,21,20,14,14,24,18,18,26,21,13,15,9
"G0305","2010-2014",,,,,,,,,"Blackfeet Indian Reservation and Off-Reservation Trust Land, MT","0305",,,,,,,,,,,,,,,,,,,,,,"Blackfeet Indian Reservation and Off-Reservation Trust Land, MT",8737,4293,433,507,395,221,128,339,293,254,457,558,390,194,90,34,4444,443,492,390,217,131,355,280,273,451,664,420,225,80,23,"Blackfeet Indian Reservation and Off-Reservation Trust Land, MT",260,155,47,82,84,32,75,88,30,37,17,41,26,20,24,22,139,54,56,55,16,18,43,43,34,40,29,46,40,30,21
"G0325","2010-2014",,,,,,,,,"Blue Lake Rancheria and Off-Reservation Trust Land, CA","0325",,,,,,,,,,,,,,,,,,,,,,"Blue Lake Rancheria and Off-Reservation Trust Land, CA",28,16,0,0,2,0,2,5,0,0,1,4,0,0,2,0,12,0,1,2,2,0,0,0,0,2,2,2,0,0,1,"Blue Lake Rancheria and Off-Reservation Trust Land, CA",23,12,12,12,4,12,4,7,12,12,2,6,12,12,3,12,13,12,4,3,4,12,12,12,12,4,4,3,12,12,3
"G0335","2010-2014",,,,,,,,,"Bois Forte Reservation, MN","0335",,,,,,,,,,,,,,,,,,,,,,"Bois Forte Reservation, MN",513,248,8,40,40,8,6,21,11,28,16,40,12,15,3,0,265,28,19,28,4,14,12,22,26,13,43,19,19,18,0,"Bois Forte Reservation, MN",114,71,9,18,23,7,11,14,9,21,15,20,10,10,5,9,68,15,14,21,8,16,12,17,18,9,20,11,12,16,9
"G0350","2010-2014",,,,,,,,,"Bridgeport Reservation, CA","0350",,,,,,,,,,,,,,,,,,,,,,"Bridgeport Reservation, CA",44,11,0,0,0,0,0,0,3,0,1,0,2,0,5,0,33,0,0,0,0,0,22,0,0,0,7,0,2,1,1,"Bridgeport Reservation, CA",58,20,12,12,12,12,12,12,11,12,2,12,3,12,14,12,49,12,12,12,12,12,44,12,12,12,14,12,4,2,3
