GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,NAME_E,ABK3E001,ABK3E002,ABK3E003,ABK3E004,ABK3E005,ABK3E006,ABK3E007,ABK3E008,ABK3E009,ABK3E010,ABK3E011,ABK3E012,ABK3E013,ABK3E014,ABK3E015,ABK3E016,ABK3E017,ABK3E018,ABK3E019,ABK3E020,ABK3E021,ABK3E022,ABK3E023,ABK3E024,ABK3E025,ABK3E026,ABK3E027,ABK3E028,ABK3E029,ABK3E030,ABK3E031,NAME_M,ABK3M001,ABK3M002,ABK3M003,ABK3M004,ABK3M005,ABK3M006,ABK3M007,ABK3M008,ABK3M009,ABK3M010,ABK3M011,ABK3M012,ABK3M013,ABK3M014,ABK3M015,ABK3M016,ABK3M017,ABK3M018,ABK3M019,ABK3M020,ABK3M021,ABK3M022,ABK3M023,ABK3M024,ABK3M025,ABK3M026,ABK3M027,ABK3M028,ABK3M029,ABK3M030,ABK3M031
"G0100010","2010-2014",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,"Autauga County, Alabama",230,48,0,0,11,0,0,0,0,0,10,27,0,0,0,0,182,0,10,0,20,0,0,0,0,28,19,0,105,0,0,"Autauga County, Alabama",65,36,27,27,13,27,27,27,27,27,16,31,27,27,27,27,53,27,13,27,26,27,27,27,27,51,22,27,68,27,27
"G0100030","2010-2014",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin County, Alabama",999,502,0,23,86,0,0,44,0,13,104,48,84,51,49,0,497,0,15,0,0,0,0,0,9,139,187,103,16,28,0,"Baldwin County, Alabama",325,247,27,36,92,27,27,56,27,24,79,60,43,41,61,27,161,27,27,27,27,27,27,27,14,95,155,61,26,41,27
"G0100050","2010-2014",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbour County, Alabama",48,48,0,0,0,0,0,0,0,0,11,11,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Barbour County, Alabama",42,42,21,21,21,21,21,21,21,21,11,12,21,38,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
"G0100070","2010-2014",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,"Bibb County, Alabama",160,103,0,0,0,32,7,7,12,0,5,28,12,0,0,0,57,0,0,0,0,0,0,0,9,10,19,19,0,0,0,"Bibb County, Alabama",118,85,21,21,21,52,11,13,20,21,8,57,23,21,21,21,48,21,21,21,21,21,21,21,15,12,31,32,21,21,21
"G0100090","2010-2014",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,"Blount County, Alabama",287,124,10,9,8,0,15,0,19,0,9,10,19,12,0,13,163,0,7,3,4,0,0,25,27,15,10,56,16,0,0,"Blount County, Alabama",212,97,18,18,19,27,23,27,33,27,16,15,24,20,27,21,136,27,13,8,8,27,27,40,39,19,17,34,26,27,27
"G0100110","2010-2014",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,"Bullock County, Alabama",70,54,0,0,0,23,0,0,0,2,3,0,26,0,0,0,16,0,0,0,0,0,0,0,0,0,16,0,0,0,0,"Bullock County, Alabama",92,70,18,18,18,32,18,18,18,5,5,18,39,18,18,18,23,18,18,18,18,18,18,18,18,18,23,18,18,18,18
"G0100130","2010-2014",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,"Butler County, Alabama",25,16,0,0,0,0,0,0,9,0,0,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6,0,3,0,"Butler County, Alabama",23,20,21,21,21,21,21,21,14,21,21,13,21,21,21,21,11,21,21,21,21,21,21,21,21,21,21,10,21,5,21
"G0100150","2010-2014",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Alabama",272,135,19,19,0,0,0,0,5,0,10,19,0,63,0,0,137,4,19,2,2,0,2,0,3,27,39,15,24,0,0,"Calhoun County, Alabama",107,65,24,23,27,27,27,27,11,27,12,18,27,36,27,27,64,7,23,4,4,27,3,27,6,30,41,24,28,27,27
"G0100170","2010-2014",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,"Chambers County, Alabama",61,24,0,0,0,0,0,0,0,0,0,24,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,19,18,"Chambers County, Alabama",47,34,24,24,24,24,24,24,24,24,24,34,24,24,24,24,41,24,24,24,24,24,24,24,24,24,24,24,24,30,27
"G0100190","2010-2014",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,"Cherokee County, Alabama",97,42,0,1,0,2,0,0,0,0,0,0,39,0,0,0,55,0,0,0,0,0,16,0,18,3,12,0,6,0,0,"Cherokee County, Alabama",66,46,21,3,21,5,21,21,21,21,21,21,44,21,21,21,43,21,21,21,21,21,28,21,31,5,13,21,9,21,21
"G0100210","2010-2014",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,"Chilton County, Alabama",178,124,0,0,0,0,0,19,0,0,0,75,30,0,0,0,54,0,0,0,0,0,0,0,0,0,44,10,0,0,0,"Chilton County, Alabama",54,40,24,24,24,24,24,35,24,24,24,36,23,24,24,24,48,24,24,24,24,24,24,24,24,24,48,11,24,24,24
"G0100230","2010-2014",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,"Choctaw County, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Choctaw County, Alabama",18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
"G0100250","2010-2014",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,"Clarke County, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Clarke County, Alabama",21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
"G0100270","2010-2014",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Alabama",103,26,0,0,0,12,0,0,0,0,0,0,14,0,0,0,77,0,24,12,0,13,17,0,0,11,0,0,0,0,0,"Clay County, Alabama",48,23,18,18,18,12,18,18,18,18,18,18,25,18,18,18,48,18,23,12,18,12,34,18,18,11,18,18,18,18,18
"G0100290","2010-2014",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleburne County, Alabama",53,45,0,0,0,0,0,0,0,0,11,14,8,12,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,"Cleburne County, Alabama",38,32,18,18,18,18,18,18,18,18,19,21,14,20,18,18,13,18,18,18,18,18,18,18,18,18,18,13,18,18,18
"G0100310","2010-2014",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,"Coffee County, Alabama",445,241,26,12,17,6,18,17,0,14,38,56,23,14,0,0,204,3,11,12,23,13,7,12,13,45,19,21,2,19,4,"Coffee County, Alabama",130,83,19,10,15,7,13,14,27,14,31,55,12,13,27,27,65,4,8,11,13,11,6,12,12,25,13,13,3,35,7
"G0100330","2010-2014",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,"Colbert County, Alabama",360,196,16,23,34,0,17,0,11,0,30,21,32,12,0,0,164,0,0,19,0,0,33,29,0,26,11,31,15,0,0,"Colbert County, Alabama",136,93,22,19,23,27,22,27,16,27,32,19,47,15,27,27,66,27,27,16,27,27,38,32,27,33,20,36,25,27,27
"G0100350","2010-2014",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,"Conecuh County, Alabama",71,9,0,0,0,0,0,7,0,0,0,2,0,0,0,0,62,0,0,0,0,0,46,0,0,0,16,0,0,0,0,"Conecuh County, Alabama",32,13,18,18,18,18,18,11,18,18,18,5,18,18,18,18,36,18,18,18,18,18,31,18,18,18,8,18,18,18,18
"G0100370","2010-2014",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,"Coosa County, Alabama",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,"Coosa County, Alabama",11,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,11,18,18,18,18,18,18,18,18,18,11,18,18,18,18
"G0100390","2010-2014",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,"Covington County, Alabama",196,114,16,0,0,37,0,0,0,26,0,12,10,2,0,11,82,0,0,0,0,0,7,5,0,31,0,12,12,0,15,"Covington County, Alabama",73,52,28,24,24,45,24,24,24,34,24,19,11,3,24,15,34,24,24,24,24,24,12,8,24,26,24,13,14,24,19
"G0100410","2010-2014",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,"Crenshaw County, Alabama",107,53,0,11,0,0,6,0,0,0,3,0,33,0,0,0,54,0,6,0,21,0,5,0,0,16,0,6,0,0,0,"Crenshaw County, Alabama",33,30,18,12,18,18,8,18,18,18,5,18,26,18,18,18,32,18,8,18,26,18,8,18,18,13,18,10,18,18,18
