GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,NAME_E,ABK3E001,ABK3E002,ABK3E003,ABK3E004,ABK3E005,ABK3E006,ABK3E007,ABK3E008,ABK3E009,ABK3E010,ABK3E011,ABK3E012,ABK3E013,ABK3E014,ABK3E015,ABK3E016,ABK3E017,ABK3E018,ABK3E019,ABK3E020,ABK3E021,ABK3E022,ABK3E023,ABK3E024,ABK3E025,ABK3E026,ABK3E027,ABK3E028,ABK3E029,ABK3E030,ABK3E031,NAME_M,ABK3M001,ABK3M002,ABK3M003,ABK3M004,ABK3M005,ABK3M006,ABK3M007,ABK3M008,ABK3M009,ABK3M010,ABK3M011,ABK3M012,ABK3M013,ABK3M014,ABK3M015,ABK3M016,ABK3M017,ABK3M018,ABK3M019,ABK3M020,ABK3M021,ABK3M022,ABK3M023,ABK3M024,ABK3M025,ABK3M026,ABK3M027,ABK3M028,ABK3M029,ABK3M030,ABK3M031
"G010","2010-2014",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alabama",25181,12451,627,695,1091,619,438,1001,581,780,1459,2020,2039,802,223,76,12730,346,857,817,361,376,854,948,939,1861,2238,1813,849,310,161,"Alabama",1098,651,153,187,203,159,136,200,139,189,247,311,223,141,84,43,738,112,187,172,123,157,196,201,243,312,333,221,169,96,67
"G020","2010-2014",,,"Alaska","02",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alaska",102743,51993,4857,4743,4573,2919,1741,4742,4036,3564,5831,6656,4755,2355,1030,191,50750,4639,4411,4129,2486,1692,4513,4053,3209,5279,6798,5101,2720,1286,434,"Alaska",1424,885,245,230,300,184,181,220,214,206,315,232,196,123,85,44,797,244,314,264,161,137,242,192,196,256,202,199,122,81,101
"G040","2010-2014",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arizona",290780,141156,12506,12723,13208,7629,5284,14197,11742,9363,17864,16561,10906,5626,2791,756,149624,12658,13095,12394,7723,5642,14104,11728,10183,17793,18726,13331,7261,3631,1355,"Arizona",2884,1715,537,571,612,307,300,588,588,355,534,482,370,272,202,155,1725,451,606,486,310,500,577,488,316,397,412,326,191,175,164
"G050","2010-2014",,,"Arkansas","05",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arkansas",18337,9009,357,592,768,429,281,514,581,634,1571,1284,1175,482,201,140,9328,489,548,640,438,338,626,582,786,1251,1500,1317,594,158,61,"Arkansas",1081,629,126,173,175,115,121,149,174,165,229,220,177,106,96,69,656,130,161,165,135,131,176,147,165,231,253,196,178,71,43
"G060","2010-2014",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,"California",287360,144575,8983,10556,9794,6881,5085,13024,10779,10666,19863,21353,16454,7405,3004,728,142785,8822,9355,10373,6419,4321,11360,10655,10089,19549,20401,17692,8076,4056,1617,"California",6860,3706,674,702,607,515,458,820,816,718,1018,933,801,421,279,144,3681,753,752,727,547,415,684,662,531,978,949,664,408,309,246
"G080","2010-2014",,,"Colorado","08",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colorado",49917,24980,1633,2066,1898,1156,903,2096,2102,1863,3794,3321,2726,969,383,70,24937,1679,1887,2062,870,904,2268,1656,2008,3631,3431,2715,1179,518,129,"Colorado",1706,1043,299,306,277,204,196,308,276,279,396,389,312,156,120,39,1048,255,283,289,177,158,280,263,252,342,339,357,199,113,62
"G090","2010-2014",,,"Connecticut","09",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Connecticut",8036,4047,215,533,248,144,85,253,369,214,615,679,389,235,67,1,3989,256,240,229,306,155,314,227,335,669,405,504,196,91,62,"Connecticut",814,481,130,187,124,69,60,100,143,107,183,170,114,68,36,3,503,96,109,87,131,72,117,97,142,175,140,114,75,53,48
"G100","2010-2014",,,"Delaware","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Delaware",3134,1509,46,10,75,52,62,221,57,67,152,246,309,172,34,6,1625,67,46,120,42,47,192,150,45,215,237,233,158,54,19,"Delaware",461,221,46,11,50,37,50,104,39,47,62,85,71,50,21,7,348,69,42,77,29,52,148,132,50,92,110,59,60,38,18
"G110","2010-2014",,,"District of Columbia","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,"District of Columbia",2072,903,36,56,32,10,11,106,78,63,260,71,117,63,0,0,1169,60,44,34,16,19,109,93,144,227,116,84,154,39,30,"District of Columbia",407,199,39,40,39,18,19,60,51,47,122,55,45,43,29,29,276,71,41,41,18,29,67,47,93,81,66,52,83,57,29
"G120","2010-2014",,,"Florida","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Florida",59121,30645,1894,1507,2018,1517,1320,2432,2431,2332,4127,4474,3502,2175,747,169,28476,1518,1623,1515,1424,700,1872,1783,1935,4550,4653,3928,1950,619,406,"Florida",2895,1767,368,353,384,321,310,473,489,423,626,488,401,282,184,98,1507,377,349,304,307,208,345,306,385,472,453,369,257,127,146
