GISJOIN,YEAR,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHH,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,NAME_E,AJ6QE001,AJ6QE002,AJ6QE003,AJ6QE004,AJ6QE005,AJ6QE006,AJ6QE007,AJ6QE008,AJ6QE009,AJ6QE010,AJ6QE011,AJ6QE012,AJ6QE013,AJ6QE014,AJ6QE015,AJ6QE016,AJ6QE017,AJ6QE018,AJ6QE019,AJ6QE020,AJ6QE021,AJ6QE022,AJ6QE023,AJ6QE024,AJ6QE025,AJ6QE026,AJ6QE027,AJ6QE028,AJ6QE029,AJ6QE030,AJ6QE031,NAME_M,AJ6QM001,AJ6QM002,AJ6QM003,AJ6QM004,AJ6QM005,AJ6QM006,AJ6QM007,AJ6QM008,AJ6QM009,AJ6QM010,AJ6QM011,AJ6QM012,AJ6QM013,AJ6QM014,AJ6QM015,AJ6QM016,AJ6QM017,AJ6QM018,AJ6QM019,AJ6QM020,AJ6QM021,AJ6QM022,AJ6QM023,AJ6QM024,AJ6QM025,AJ6QM026,AJ6QM027,AJ6QM028,AJ6QM029,AJ6QM030,AJ6QM031
"G0010","2014-2018",,,,,,,,,"Acoma Pueblo and Off-Reservation Trust Land, NM","0010",,,,,,,,,,,,,,,,,,,,,,"Acoma Pueblo and Off-Reservation Trust Land, NM",2689,1224,54,93,84,50,60,101,101,79,119,154,181,94,49,5,1465,71,110,151,57,26,80,114,68,206,183,236,90,43,30,"Acoma Pueblo and Off-Reservation Trust Land, NM",250,135,22,32,28,31,37,37,42,29,37,47,42,35,28,8,163,33,40,47,32,18,35,44,27,42,52,46,30,23,21
"G0020","2014-2018",,,,,,,,,"Agua Caliente Indian Reservation and Off-Reservation Trust Land, CA","0020",,,,,,,,,,,,,,,,,,,,,,"Agua Caliente Indian Reservation and Off-Reservation Trust Land, CA",239,123,7,11,0,0,0,3,8,2,9,33,37,9,4,0,116,4,3,2,0,6,2,17,0,3,18,19,17,12,13,"Agua Caliente Indian Reservation and Off-Reservation Trust Land, CA",70,38,7,11,23,23,23,4,10,4,6,18,21,8,4,23,49,6,6,4,23,9,5,13,23,5,15,18,9,13,18
"G0050","2014-2018",,,,,,,,,"Alabama-Coushatta Reservation and Off-Reservation Trust Land, TX","0050",,,,,,,,,,,,,,,,,,,,,,"Alabama-Coushatta Reservation and Off-Reservation Trust Land, TX",519,213,16,20,45,10,0,12,12,13,21,17,23,18,6,0,306,29,24,30,15,13,32,5,16,26,33,26,47,8,2,"Alabama-Coushatta Reservation and Off-Reservation Trust Land, TX",98,52,15,16,16,13,13,11,16,13,18,14,22,12,5,13,81,22,27,26,12,13,19,6,14,23,24,17,12,13,4
"G0080","2014-2018",,,,,,,,,"Allegany Reservation, NY","0080",,,,,,,,,,,,,,,,,,,,,,"Allegany Reservation, NY",1707,763,85,41,87,57,27,64,43,57,83,121,52,28,16,2,944,108,103,112,33,39,58,53,45,111,122,51,71,28,10,"Allegany Reservation, NY",142,81,31,19,28,13,14,16,18,19,25,22,19,17,11,4,89,25,28,31,15,19,24,22,17,26,25,18,18,12,7
"G0095","2014-2018",,,,,,,,,"Alturas Indian Rancheria, CA","0095",,,,,,,,,,,,,,,,,,,,,,"Alturas Indian Rancheria, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alturas Indian Rancheria, CA",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"G0110","2014-2018",,,,,,,,,"Annette Island Reserve, AK","0110",,,,,,,,,,,,,,,,,,,,,,"Annette Island Reserve, AK",1210,658,53,67,65,34,0,37,40,38,78,74,68,85,19,0,552,30,55,52,16,23,54,25,45,38,64,81,45,19,5,"Annette Island Reserve, AK",104,63,16,25,16,11,9,15,17,14,23,21,17,11,10,9,65,13,19,21,13,18,20,15,12,20,21,22,17,9,5
"G0115","2014-2018",,,,,,,,,"Aroostook Band of Micmac Trust Land, ME","0115",,,,,,,,,,,,,,,,,,,,,,"Aroostook Band of Micmac Trust Land, ME",180,83,17,17,8,0,0,0,2,6,23,6,2,0,2,0,97,17,10,3,2,1,3,22,2,10,2,14,4,7,0,"Aroostook Band of Micmac Trust Land, ME",54,29,10,11,8,10,10,10,3,8,16,6,3,10,3,10,33,11,10,4,4,2,5,14,5,11,4,11,5,8,10
"G0120","2014-2018",,,,,,,,,"Auburn Rancheria and Off-Reservation Trust Land, CA","0120",,,,,,,,,,,,,,,,,,,,,,"Auburn Rancheria and Off-Reservation Trust Land, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Auburn Rancheria and Off-Reservation Trust Land, CA",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"G0125","2014-2018",,,,,,,,,"Augustine Reservation, CA","0125",,,,,,,,,,,,,,,,,,,,,,"Augustine Reservation, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Augustine Reservation, CA",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"G0140","2014-2018",,,,,,,,,"Bad River Reservation, WI","0140",,,,,,,,,,,,,,,,,,,,,,"Bad River Reservation, WI",1243,697,36,78,72,44,14,45,30,48,95,73,89,52,21,0,546,72,64,42,13,6,27,36,14,44,67,76,52,28,5,"Bad River Reservation, WI",142,89,20,31,28,25,13,31,23,23,22,24,20,12,11,9,101,32,26,21,11,8,16,20,10,23,19,27,20,14,6
"G0155","2014-2018",,,,,,,,,"Barona Reservation and Off-Reservation Trust Land, CA","0155",,,,,,,,,,,,,,,,,,,,,,"Barona Reservation and Off-Reservation Trust Land, CA",512,261,31,16,24,14,14,17,33,10,39,31,25,0,7,0,251,22,13,24,5,28,35,10,15,21,41,22,7,8,0,"Barona Reservation and Off-Reservation Trust Land, CA",97,62,25,11,13,10,15,15,23,8,19,14,12,12,6,12,53,15,10,12,4,23,19,13,14,9,17,11,7,8,12
"G0165","2014-2018",,,,,,,,,"Battle Mountain Reservation and Off-Reservation Trust Land, NV","0165",,,,,,,,,,,,,,,,,,,,,,"Battle Mountain Reservation and Off-Reservation Trust Land, NV",251,98,12,4,9,1,1,0,10,9,14,12,18,7,1,0,153,16,7,3,18,0,0,35,9,18,12,15,15,5,0,"Battle Mountain Reservation and Off-Reservation Trust Land, NV",106,48,15,6,17,3,3,12,15,11,24,21,15,9,2,12,73,19,9,5,26,12,12,26,14,20,8,15,16,6,12
"G0170","2014-2018",,,,,,,,,"Bay Mills Reservation and Off-Reservation Trust Land, MI","0170",,,,,,,,,,,,,,,,,,,,,,"Bay Mills Reservation and Off-Reservation Trust Land, MI",856,442,35,44,31,20,24,46,36,30,66,34,26,36,9,5,414,27,28,15,24,20,55,24,13,80,48,31,29,6,14,"Bay Mills Reservation and Off-Reservation Trust Land, MI",121,80,17,18,13,13,20,26,20,15,25,16,13,20,7,4,60,15,14,12,16,16,29,15,10,21,19,16,15,7,12
"G0185","2014-2018",,,,,,,,,"Benton Paiute Reservation and Off-Reservation Trust Land, CA","0185",,,,,,,,,,,,,,,,,,,,,,"Benton Paiute Reservation and Off-Reservation Trust Land, CA",104,29,0,0,5,0,0,0,0,0,11,4,2,2,5,0,75,4,8,4,0,0,0,10,5,23,12,2,7,0,0,"Benton Paiute Reservation and Off-Reservation Trust Land, CA",55,18,12,12,10,12,12,12,12,12,11,7,3,4,7,12,47,9,13,9,12,12,12,18,6,19,18,4,7,12,12
