GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,NAME_E,AJ6QE001,AJ6QE002,AJ6QE003,AJ6QE004,AJ6QE005,AJ6QE006,AJ6QE007,AJ6QE008,AJ6QE009,AJ6QE010,AJ6QE011,AJ6QE012,AJ6QE013,AJ6QE014,AJ6QE015,AJ6QE016,AJ6QE017,AJ6QE018,AJ6QE019,AJ6QE020,AJ6QE021,AJ6QE022,AJ6QE023,AJ6QE024,AJ6QE025,AJ6QE026,AJ6QE027,AJ6QE028,AJ6QE029,AJ6QE030,AJ6QE031,NAME_M,AJ6QM001,AJ6QM002,AJ6QM003,AJ6QM004,AJ6QM005,AJ6QM006,AJ6QM007,AJ6QM008,AJ6QM009,AJ6QM010,AJ6QM011,AJ6QM012,AJ6QM013,AJ6QM014,AJ6QM015,AJ6QM016,AJ6QM017,AJ6QM018,AJ6QM019,AJ6QM020,AJ6QM021,AJ6QM022,AJ6QM023,AJ6QM024,AJ6QM025,AJ6QM026,AJ6QM027,AJ6QM028,AJ6QM029,AJ6QM030,AJ6QM031
"G0100010","2014-2018",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,"Autauga County, Alabama",159,59,16,0,4,0,0,0,0,0,5,34,0,0,0,0,100,15,5,0,32,0,9,0,0,20,17,0,2,0,0,"Autauga County, Alabama",68,48,21,28,9,28,28,28,28,28,8,37,28,28,28,28,59,20,9,28,37,28,14,28,28,32,21,28,3,28,28
"G0100030","2014-2018",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin County, Alabama",1522,785,0,8,9,81,70,94,39,12,115,61,144,87,53,12,737,0,44,50,15,0,136,0,7,187,134,96,51,17,0,"Baldwin County, Alabama",337,228,28,14,14,75,82,86,36,16,88,47,55,62,73,19,167,28,52,96,31,28,110,28,12,112,94,42,54,26,28
"G0100050","2014-2018",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbour County, Alabama",72,72,0,0,0,0,0,0,0,0,38,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Barbour County, Alabama",43,43,22,22,22,22,22,22,22,22,29,29,16,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
"G0100070","2014-2018",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,"Bibb County, Alabama",8,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bibb County, Alabama",16,16,22,22,22,22,22,22,22,22,22,16,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
"G0100090","2014-2018",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,"Blount County, Alabama",141,24,0,0,0,0,0,2,0,0,0,0,8,1,0,13,117,4,0,0,0,0,3,0,22,17,0,51,20,0,0,"Blount County, Alabama",73,26,28,28,28,28,28,4,28,28,28,28,13,4,28,22,68,7,28,28,28,28,6,28,29,26,28,32,24,28,28
"G0100110","2014-2018",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,"Bullock County, Alabama",122,78,0,0,0,32,0,0,0,0,0,0,46,0,0,0,44,0,0,0,0,0,0,0,0,0,44,0,0,0,0,"Bullock County, Alabama",139,92,19,19,19,40,19,19,19,19,19,19,55,19,19,19,52,19,19,19,19,19,19,19,19,19,52,19,19,19,19
"G0100130","2014-2018",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,"Butler County, Alabama",2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Butler County, Alabama",4,4,22,22,22,22,22,22,22,22,22,2,3,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
"G0100150","2014-2018",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Alabama",353,147,0,0,22,22,0,0,0,13,9,4,33,44,0,0,206,29,29,0,0,29,0,0,16,36,35,32,0,0,0,"Calhoun County, Alabama",205,90,28,28,34,34,28,28,28,20,14,6,29,28,28,28,128,29,44,28,28,33,28,28,17,37,28,34,28,28,28
"G0100170","2014-2018",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,"Chambers County, Alabama",97,64,0,0,0,0,0,0,0,17,9,11,0,0,15,12,33,0,0,0,0,0,0,0,0,0,33,0,0,0,0,"Chambers County, Alabama",43,39,25,25,25,25,25,25,25,21,13,19,25,25,24,25,35,25,25,25,25,25,25,25,25,25,35,25,25,25,25
"G0100190","2014-2018",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,"Cherokee County, Alabama",236,121,49,0,0,48,0,3,0,0,0,0,16,0,5,0,115,0,0,52,48,0,0,0,0,0,2,13,0,0,0,"Cherokee County, Alabama",130,89,48,22,22,47,22,7,22,22,22,22,24,22,9,22,76,22,22,78,47,22,22,22,22,22,3,17,22,22,22
"G0100210","2014-2018",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,"Chilton County, Alabama",123,75,0,0,0,0,0,0,0,0,0,26,1,0,0,48,48,0,0,0,0,0,2,0,0,0,0,46,0,0,0,"Chilton County, Alabama",215,61,25,25,25,25,25,25,25,25,25,22,39,25,25,57,172,25,25,25,25,25,44,25,25,25,25,130,25,25,25
"G0100230","2014-2018",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,"Choctaw County, Alabama",9,5,0,0,0,0,0,0,0,0,0,2,3,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,"Choctaw County, Alabama",9,7,19,19,19,19,19,19,19,19,19,4,5,19,19,19,6,19,19,19,19,19,19,19,19,6,19,19,19,19,19
"G0100250","2014-2018",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,"Clarke County, Alabama",25,18,0,0,0,0,8,0,0,0,0,0,10,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,4,0,0,"Clarke County, Alabama",30,27,22,22,22,22,18,22,22,22,22,22,15,22,22,22,10,22,22,22,22,22,22,22,22,22,5,22,7,22,22
"G0100270","2014-2018",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Alabama",155,66,0,0,30,14,0,0,0,0,0,0,22,0,0,0,89,0,27,14,0,14,19,6,0,9,0,0,0,0,0,"Clay County, Alabama",63,65,19,19,55,13,19,19,19,19,19,19,40,19,19,19,50,19,26,13,19,13,32,11,19,9,19,19,19,19,19
"G0100290","2014-2018",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleburne County, Alabama",39,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,14,0,0,0,"Cleburne County, Alabama",65,42,19,19,19,19,19,19,19,19,42,19,19,19,19,19,26,19,19,19,19,19,19,19,19,19,19,26,19,19,19
"G0100310","2014-2018",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,"Coffee County, Alabama",617,303,9,6,47,0,6,17,0,27,68,30,33,58,2,0,314,12,39,3,19,14,25,10,18,14,28,59,10,42,21,"Coffee County, Alabama",96,66,15,6,30,28,9,18,28,20,35,22,16,25,4,28,65,16,35,5,19,13,20,12,19,13,20,14,11,30,20
"G0100330","2014-2018",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,"Colbert County, Alabama",367,88,0,0,41,0,1,0,12,0,17,0,0,7,10,0,279,0,0,41,14,0,0,7,23,31,40,91,14,18,0,"Colbert County, Alabama",160,67,28,28,54,28,3,28,21,28,31,28,28,12,16,28,106,28,28,54,23,28,28,11,33,50,46,55,25,30,28
"G0100350","2014-2018",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,"Conecuh County, Alabama",56,10,0,0,0,0,0,6,0,0,0,4,0,0,0,0,46,0,0,0,0,0,6,0,0,0,40,0,0,0,0,"Conecuh County, Alabama",46,10,19,19,19,19,19,11,19,19,19,8,19,19,19,19,42,19,19,19,19,19,11,19,19,19,42,19,19,19,19
"G0100370","2014-2018",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,"Coosa County, Alabama",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,8,0,0,"Coosa County, Alabama",12,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,12,19,19,19,19,19,2,19,19,19,19,19,12,19,19
"G0100390","2014-2018",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,"Covington County, Alabama",58,36,0,0,0,0,0,0,0,0,0,0,36,0,0,0,22,0,0,0,0,0,0,0,0,0,0,22,0,0,0,"Covington County, Alabama",70,40,25,25,25,25,25,25,25,25,25,25,40,25,25,25,33,25,25,25,25,25,25,25,25,25,25,33,25,25,25
"G0100410","2014-2018",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,"Crenshaw County, Alabama",109,46,0,12,0,0,4,0,13,0,1,2,8,6,0,0,63,0,15,0,0,0,13,0,6,9,16,4,0,0,0,"Crenshaw County, Alabama",23,17,19,12,19,19,5,19,14,19,4,4,8,8,19,19,25,19,22,19,19,19,14,19,10,10,15,6,19,19,19
"G0100430","2014-2018",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,"Cullman County, Alabama",348,184,0,22,38,0,0,0,0,0,49,44,0,31,0,0,164,0,0,88,0,0,35,0,0,16,0,16,9,0,0,"Cullman County, Alabama",155,82,28,40,49,28,28,28,28,28,38,46,28,39,28,28,100,28,28,67,28,28,54,28,28,31,28,15,11,28,28
"G0100450","2014-2018",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,"Dale County, Alabama",377,201,11,0,29,29,0,12,0,11,40,34,8,27,0,0,176,0,0,33,16,0,6,0,25,14,26,15,33,0,8,"Dale County, Alabama",144,115,11,25,39,39,25,22,25,22,35,26,14,25,25,25,100,25,25,44,24,25,11,25,35,14,32,20,30,25,14
"G0100470","2014-2018",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,"Dallas County, Alabama",10,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,"Dallas County, Alabama",19,11,25,25,25,25,25,25,25,25,25,11,25,25,25,25,13,25,25,25,25,25,25,25,25,25,13,25,25,25,25
"G0100490","2014-2018",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Alabama",934,524,96,14,0,34,0,8,156,8,18,60,64,58,8,0,410,15,6,14,3,0,10,71,55,11,72,147,6,0,0,"DeKalb County, Alabama",232,152,85,24,28,29,28,13,121,15,22,70,38,46,13,28,132,19,11,16,6,28,15,37,66,12,44,68,10,28,28
"G0100510","2014-2018",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,"Elmore County, Alabama",209,196,0,0,0,0,0,0,0,72,25,39,13,36,11,0,13,0,0,0,0,0,0,0,0,10,0,0,3,0,0,"Elmore County, Alabama",99,97,28,28,28,28,28,28,28,64,26,39,14,52,19,28,19,28,28,28,28,28,28,28,28,18,28,28,5,28,28
