GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,NAME_E,AJ6QE001,AJ6QE002,AJ6QE003,AJ6QE004,AJ6QE005,AJ6QE006,AJ6QE007,AJ6QE008,AJ6QE009,AJ6QE010,AJ6QE011,AJ6QE012,AJ6QE013,AJ6QE014,AJ6QE015,AJ6QE016,AJ6QE017,AJ6QE018,AJ6QE019,AJ6QE020,AJ6QE021,AJ6QE022,AJ6QE023,AJ6QE024,AJ6QE025,AJ6QE026,AJ6QE027,AJ6QE028,AJ6QE029,AJ6QE030,AJ6QE031,NAME_M,AJ6QM001,AJ6QM002,AJ6QM003,AJ6QM004,AJ6QM005,AJ6QM006,AJ6QM007,AJ6QM008,AJ6QM009,AJ6QM010,AJ6QM011,AJ6QM012,AJ6QM013,AJ6QM014,AJ6QM015,AJ6QM016,AJ6QM017,AJ6QM018,AJ6QM019,AJ6QM020,AJ6QM021,AJ6QM022,AJ6QM023,AJ6QM024,AJ6QM025,AJ6QM026,AJ6QM027,AJ6QM028,AJ6QM029,AJ6QM030,AJ6QM031
"G010","2014-2018",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alabama",25576,12620,499,288,872,630,202,771,858,870,2048,1887,1994,1174,361,166,12956,417,767,940,671,507,760,767,834,1595,2179,1922,1125,323,149,"Alabama",1335,868,147,121,208,201,109,220,258,263,284,332,313,198,122,103,865,127,212,309,217,159,220,168,179,343,302,247,217,91,87
"G020","2014-2018",,,"Alaska","02",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alaska",106660,53284,5079,5139,4719,2672,1723,4582,4550,3690,6039,5876,5090,2718,1112,295,53376,5085,4936,4100,2381,1841,4316,4573,3481,5984,5995,5593,3305,1437,349,"Alaska",1515,909,268,327,294,177,159,284,240,190,287,228,185,151,108,61,956,289,276,255,185,143,291,252,181,277,203,203,162,110,62
"G040","2014-2018",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arizona",309580,151296,12802,12612,13409,8128,5013,14773,14010,11449,18875,16574,12764,6933,3025,929,158284,12559,12827,12972,7598,4827,13092,13078,11496,18997,19083,16399,9221,4355,1780,"Arizona",3307,2047,462,589,613,366,350,577,513,403,416,479,310,265,220,144,1729,473,565,586,372,251,489,428,390,516,476,425,305,250,231
"G050","2014-2018",,,"Arkansas","05",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arkansas",20037,9435,498,786,534,506,318,646,788,469,1424,972,1453,700,221,120,10602,697,722,724,540,476,688,889,647,1371,1367,1277,819,293,92,"Arkansas",1190,646,152,229,154,132,122,199,187,144,214,176,226,174,111,64,829,225,165,188,151,131,197,201,172,236,212,206,171,127,68
"G060","2014-2018",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,"California",296475,148440,9367,9909,10058,6543,4336,12899,12013,10734,20237,20363,17936,9351,3568,1126,148035,8776,9865,10093,6335,4201,11013,10791,10731,19499,19231,19666,11032,4721,2081,"California",5495,2868,597,716,736,540,424,712,703,789,885,767,807,546,304,190,3399,626,764,738,546,454,829,690,554,1003,888,727,592,392,252
"G080","2014-2018",,,"Colorado","08",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colorado",54483,26791,1714,1793,1978,1230,829,1918,2487,1840,3692,3836,3110,1744,518,102,27692,1601,1723,1745,917,801,2707,2283,2286,3939,3424,3684,1813,496,273,"Colorado",1913,1204,363,250,302,223,156,346,280,312,375,367,345,251,173,64,1159,285,252,298,172,193,369,429,328,342,319,371,236,134,127
"G090","2014-2018",,,"Connecticut","09",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Connecticut",9698,5450,280,393,429,252,149,446,375,454,854,803,543,322,128,22,4248,279,116,393,267,97,205,250,235,840,462,584,331,155,34,"Connecticut",1118,681,143,149,202,142,73,151,149,259,181,182,164,105,83,28,602,106,63,230,104,62,104,120,120,246,140,151,92,83,32
"G100","2014-2018",,,"Delaware","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Delaware",3455,1832,69,10,57,39,113,143,125,110,219,270,366,144,127,40,1623,45,72,50,32,23,181,90,44,255,151,357,176,122,25,"Delaware",484,272,48,24,57,41,63,94,70,70,98,92,90,30,41,25,291,37,49,49,29,23,73,109,56,94,77,76,70,42,22
"G110","2014-2018",,,"District of Columbia","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,"District of Columbia",1993,951,125,13,0,2,6,74,58,135,120,208,71,115,18,6,1042,23,57,22,73,66,55,134,72,129,105,115,45,55,91,"District of Columbia",506,244,112,18,29,4,13,64,50,111,69,90,51,58,20,16,297,28,85,30,70,92,67,156,68,70,63,88,45,62,69
"G120","2014-2018",,,"Florida","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Florida",58118,30037,1420,1510,1614,1281,1058,1880,1926,1605,4861,4532,4349,2671,1067,263,28081,1239,1472,1613,1368,863,1547,1592,1400,4061,4157,4732,2506,1213,318,"Florida",2307,1694,321,348,266,296,312,401,451,374,558,542,433,302,236,104,1123,264,295,330,292,269,303,310,292,487,434,460,336,246,140
